item_id,factory_code,name_spanish,name_hebrew,department,is_anatomical_x9,is_steak,freshness,kosher_type,breed,origin_country,customer
7290000551098,,BRAZUELO 88 BANANITAS,8K מוכשר (בנניטה),carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290000551159,,Quijada,בשר ראש מוכשר קפוא,MENUDENCIAS,no,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290000551197,,LENGUA,לשון מוכשר קפוא,MENUDENCIAS,no,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290000551203,,GRASA,שומן מוכשר קפוא,MENUDENCIAS,no,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290000551909,,INTER COSTAL,אצבעות אנטריקוט קפוא מוכשר,carne,no,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290000632025,,INTERCOTELES,אצבעות אנטריקוט,carne,no,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000632872,,bife ancho L,סטייק עיין מיושן מוכשרL,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000638645,,TAPA DE BIFE,מכסה וורד הצלע בלוק,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000640617,,GRASA,שומן בקר בבלוק,MENUDENCIAS,no,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000656823,,AGUJA CHUCK 2,צלעות מס 2,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000656830,,PECHO,חזה מס 3,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000656847,,PAETA,כתף מס 4,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000656861,,MARUCHA,צלי כתף מס 5,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000656885,,CHINGOLO,פילה מדומה מס 6,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000656892,,T.DE AGUJA,מיכסה הצלע מס 7,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000656946,,BRAZULEO,שריר מס 8,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000656953,,COGOTE,צוואר מס 10 מגולגל,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000656991,,QUIJADA,בשר ראש לחיים,MENUDENCIAS,no,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000657127,,MOLLJA.DE CORAZON,שקדי בקר לצליה,MENUDENCIAS,no,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000658469,,BRAZULEO,שריר בננה מס 88,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000662350,,MOLLJA DE GRAGANTA,שקדי בקר לבישול,MENUDENCIAS,no,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290000663630,,bife ancho xl,אנטריקוט מיושן פרימיום מוכשרXL,carne,yes,no,FROZEN,KOSHER,normal,Urguay,TNUVA
7290001128572,,TAPA DE BIFE 1BC,דקל-מכסה הסטייק בשר בקר קפוא מוכשר T,carne,no,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290001128718,,MOLLEJA  DE CORAZON,שקדים מוכשר קפוא,MENUDENCIAS,no,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290001690789,,TAPA DE BIFE 1B,דקל - מכסה הסטייק בשר בקר טרי,carne,yes,no,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290001690796,,AGUJA 2,2 צלעות בשר בקר טרי,carne,yes,no,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290001690802,,PECHO 3,3 חזה בשר בקר טרי,carne,yes,no,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290001690819,,PALETA 4,4 כתף מרכזי בשר בקר טרי,carne,yes,no,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290001690826,,MARUCHA 5,5 צלי כתף בשר בקר טרי,carne,yes,no,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290001690833,,CHINGOLO 6,6 פילה מדומה בשר בקר טרי,carne,yes,no,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290001690840,,TAPA DE AGUJA  7,7 מכסה הצלע בשר בקר טרי,carne,yes,no,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290001690864,,ASADO,9 קשתית בשר בקר טרי,carne,no,no,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290002029816,,LENGUA,לשון בקר קפוא,MENUDENCIAS,yes,no,FROZEN,SHERIT,normal,Urguay,Off Jerusalem
7290002029847,,MIX,בקר קפוא שארית    7X,carne,yes,no,FROZEN,SHERIT,normal,Urguay,Off Jerusalem
7290002105848,,BIFE ANCHO A1 FL FEED LOT,סטייק עין מיושן A1 בקר קפוא פיד לוט,carne,yes,yes,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002105947,,BRAZUELO 8 CON HUESO (usobuko) FEED LOT,שריר בקר קפוא עם עצם (אוסובוקו ) פיד לוט,CARNE CON HUESO,yes,no,FROZEN,Kosher SP,FEED LOT,Urguay,Off Jerusalem
7290002109815,,BRAZUELO 88 BANANITAS,8K שריר הזרוע (פולי) בשר בקר טרי,carne,yes,no,CHILLED,KOSHER,normal,Urguay,Neto Melinda
7290002281764,,AGUJA 2,2 צלעות בשר בקר קפוא מוכשר,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290002281788,,PECHO 3,3 חזה בשר בקר טרי מוכשר קפוא מוכשר,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290002281801,,PALETA 4,4 כתף מרכזי בשר בקר קפוא מוכשר,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290002281825,,MARUCHA 5,5 צלי כתף בשר בקר קפוא מוכשר,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290002281832,,CHINGOLO 6,6 פילה מדומה בשר בקר קפוא מוכשר,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290002281849,,TAPA DE AGUJA  7,7 מכסה הצלע בשר בקר קפוא מוכשר,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290002281856,,BRAZUELO 8,88 שריר הזרוע בשר בקר קפוא מוכשר-צרכני,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290002281863,,COGOTE  10,10 צוואר בשר בקר קפוא מוכשר,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290002281870,,COGOTE RETAIL 1010,10 צוואר בשר בקר קפוא מוכשר-צרכני,carne,yes,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290002298939,,MOLLEJA,גידים בקר קפוא,MENUDENCIAS,yes,no,FROZEN,Halak SP,normal,Urguay,Off Jerusalem
7290002341864,,,גידים בקר קפוא חלק אורוגוואי,MENUDENCIAS,no,no,FROZEN,KOSHER,normal,Urguay,Off Jerusalem
7290002402008,,BIFE ANCHO  XL FEED LOT,סטייק עין מיושן XL בקר קפוא פיד לוט,carne,yes,yes,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402039,,BIFE ANCHO  PREMIUM FEED LOT,סטייק עין  בקר קפוא פרימיום פיד לוט,carne,yes,yes,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402053,,AGUJA FEED LOT,צלעות 2  בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402152,,AGUJA RETAIL FEED LOT,צלעות 22 צרכני בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402169,,PECHO 3 ZG (CHATO) FEED LOT,חזה 3  בקר קפוא ZG פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402176,,PECHO 3ZGB - BLOCK  FEED LOT,חזה (אוזן ) ZGB בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402190,,PALETA 4TZ FEED LOT,כתף מרכזי 4  בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402206,,PALTA RETAIL 44 FEED LOT,כתף מרכזי 44 צרכני בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402213,,MARUCHA FEED LOT,צלי כתף 5 בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402220,,CHINGOLO FEED LOT,פילה מדומה 6 בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402268,,TAPA DE AGUJA retail FEED LOT,מכסה הצלע 7 צרכני בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402275,,BRAZUELO 88 FEED LOT,שריר הזרוע 88 צרכני בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402787,,BRAZUELO 8K BANNITAS FEED LOT,שריר הזרוע מיוחד K8 בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402794,,ASADO FEED LOT,קשתית (אסאדו) 9   בקר קפוא פיד לוט,carne,no,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402800,,BRAZUELO 888 FEED LOT,שריר הזרוע 888 צרכני בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402817,,COGOTE FEED LOT,צוואר 10   בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402824,,COGOTE RETAIL FEED LOT,צוואר 10 צרכני  בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002402831,,TAPA DE BIFE 1B FEED LOT,מכסה ורד הצלע (דקל) B1 בקר קפוא פיד לוט,carne,yes,no,FROZEN,MACFUD,FEED LOT,Urguay,Off Jerusalem
7290002420774,,TAPA DE BIFE 1BB,מכסה ורד הצלע BB1 בקר קפוא,carne,no,no,FROZEN,Halak SP,normal,Urguay,Off Jerusalem
7290002420798,,TAPA DE BIFE 1BC,מכסה ורד הצלע BC1 בקר קפוא,carne,no,no,FROZEN,Halak SP,normal,Urguay,Off Jerusalem
7290002444459,,ASADO,קשתית9 קפוא מוכשר,carne,no,no,FROZEN,KOSHER,normal,Urguay,Neto Melinda
7290002486855,,TAPA DE BEFE 1BC,מכסה ורד הצלע 1BC,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002486862,,BEFE ANCHO PRIMEUM,סטייק עין פרימיום,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002486879,,,צלעות בקר אונטריפ  2H,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002516682,,ASADO PRIMEUM,קשתית (אסאדו) 9   בקר קפוא פרימיום,carne,no,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290002516699,,ASADO CON HUESO PRIMEUM,קשתית (אסאדו)  בקר קפוא עם עצם פרימיום,CARNE CON HUESO,no,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290002554448,,,סינטה G קפוא חלק אורוגוואי,MENAKER,no,no,FROZEN,KOSHER,normal,Urguay,Off Jerusalem
7290002554516,,BEFE ANCHO,סטייק עין בקר קפוא,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554523,,BEFE ANCHO  XL,סטייק עין בקר קפוא XL,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554530,,INTER COSTAL,רצועות אנטריקוט,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554547,,AGUJA,צלעות בקר מס 2,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554554,,AGUJA RETAIL,צלעות בקר 22 צרכני,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554561,,PECHO,חזה בקר מס 3,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554578,,PECHO RETAIL,חזה בקר 33 צרכני,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554585,,PALETA,כתף בקר מס 4,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554592,,PALTA RETAIL,כתף בקר 44 צרכני,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554608,,MARUCHA,צלי כתף מס 5,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554615,,CHINGOLO,פילה מדומה מס 6,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554639,,TAPA DE AGUJA 77 RETAIL,מכסה הצלע מס 77 צרכני,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554646,,BRAZUELO,שריר מס 8,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554653,,BRAZUELO 88,שריר מס 88 צרכני,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554660,,BRAZUELO 8K,שריר מס K8 צרכני,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554677,,COGOTE,צוואר מס 10,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554684,,TAPA DE BEFE 1B,מכסה ורד הצלע 1B,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554691,,,מכסה ורד הצלע 1BB,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554707,,ASADO,אסאדו בקר קפוא,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554714,,GRASA,שומן קפוא G,MENUDENCIAS,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554721,,LENGUA,לשון בקר,MENUDENCIAS,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554738,,QUJIDA,בשר ראש,MENUDENCIAS,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554745,,TENDONES,גידים,MENUDENCIAS,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554752,,MOLLEJA,שקדי בקר,MENUDENCIAS,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554769,,MARUCHA RETAIL,צלי כתף מס 55,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002554776,,COGOTE RETAIL,צוואר מס 10 צרכני,carne,yes,no,FROZEN,RUBIN,normal,Urguay,Off Jerusalem
7290002734413,,,שקדים בקר (לב) קפוא שארית אורוגוואי,MENUDENCIAS,no,no,FROZEN,SHERIT,normal,Urguay,Off Jerusalem
7290002996224,,BIFE ANCHO,סטייק עין   A1 בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996231,,BIFE ANCHO  XL,סטייק עין   XL בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996248,,AGUJA,צלעות 2   בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996255,,AGUJA RETAIL,צלעות 22   בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996262,,PECHO,חזה 3  בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996279,,PECHO RETAIL,חזה 33  בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996286,,PALETA,כתף מרכזי 4  בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996293,,MARUCHA,צלי כתף 5  בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996309,,CHINGOLO,פילה מדומה 6  בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996316,,TAPA DE AGUJA,מכסה הצלע 7  בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996323,,BRAZUELO,שריר הזרוע 88   בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996330,,BRAZUELO 8K BANANITAS,שריר הזרוע 8K   בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996347,,COGOTE,צוואר 10   בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996354,,TAPA DE BIFE 1B,מכסה ורד הצלע  בקר קפוא,carne,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996378,,ASADO,אסאדו 9  בקר קפוא,carne,no,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996385,,,בשר בקר לחמין אסדו 99 צרכני קפוא מוכשר אורוגוואי,carne,no,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996408,,MOLLEJA,שומן בקר  קפוא,MENUDENCIAS,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996415,,MOLLEJA,לשון בקר  קפוא,MENUDENCIAS,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
7290002996422,,MOLLEJA,שקדים בקר לב קפוא מוכשר סופר ביף,MENUDENCIAS,yes,no,FROZEN,Kosher SP,normal,Urguay,Off Jerusalem
